
Found LSM9DS1
1, 1, 1, -0.1966272, -0.19424384, -0.16326016, -81.0786515684, 80.9223026935
1, 1, 1, -0.3008859, -0.31133438, -0.27954871, -113.473164796, 113.322085091
1, 1, 1, -0.38960495, -0.43322664, -0.39064039, -126.424754227, 126.280077362
1, 1, 1, -0.46159253, -0.57100932, -0.49978285, -131.598697411, 131.456918102
-515.6, 223.6, -25.2, -0.51945803, -0.72917502, -0.60702691, -102.804521631, 0.198368000216
-814.16, 344.16, -47.52, -0.57952895, -0.90476694, -0.71484651, -90.4289821968, -51.9866560877
-984.896, 417.296, -58.9021952, -0.64639715, -1.08769374, -0.81707031, -85.3777365111, -72.8143166004
-1082.9376, 419.37245696, -58.9021952, -0.73042725, -1.26415695, -0.91103124, -83.3876620778, -81.3283224522
-1139.36256, 419.37245696, -58.9021952, -0.83848205, -1.42778279, -0.99515962, -82.6012421844, -84.8211300283
-1174.817536, 419.37245696, -58.9021952, -0.95544757, -1.58322381, -1.06133748, -82.2902385151, -86.2684756622
-1202.4905216, 419.37245696, -58.9021952, -1.06519721, -1.71139297, -1.11659604, -82.1629506953, -86.8760731475
-1219.89431296, 422.232270422, -48.14131712, -1.15656471, -1.82103397, -1.15791004, -82.9989928449, -87.4383326421
-1239.13658778, 422.232270422, -40.884790272, -1.22114286, -1.92140242, -1.18903204, -83.9070008754, -87.8816207649
-1253.88195267, 422.232270422, -37.9017612916, -1.27478316, -2.01872125, -1.20895558, -84.5066055438, -88.1527451015
-1267.9291716, 422.232270422, -37.9017612916, -1.32748812, -2.12183965, -1.22423238, -84.7460732752, -88.2750168326
-1282.35750296, 422.232270422, -37.9017612916, -1.38031383, -2.23131902, -1.23341946, -84.8419086677, -88.3380220339
-1286.61450178, 423.362170411, -37.9017612916, -1.44134844, -2.33484608, -1.24346313, -84.8916966026, -88.3642021229
-1290.76870107, 424.817302247, -37.9017612916, -1.48879332, -2.42973584, -1.26412461, -84.9166343091, -88.3744757171
-1295.66122064, 425.339362253, -38.3410567749, -1.54112476, -2.52054628, -1.29182949, -84.8970763832, -88.3691162789
-1302.19673238, 425.603617352, -39.722780439, -1.61186172, -2.60742972, -1.31874029, -84.7878483648, -88.3340586902
-1310.91803943, 430.288322371, -40.204634065, -1.69126972, -2.69239628, -1.34415085, -84.7440917624, -88.3136146664
-1322.15082366, 430.890381348, -41.8336682634, -1.759387, -2.77367258, -1.37588731, -84.5977212734, -88.2705939251
-1329.69049419, 432.480537285, -44.300200958, -1.81171844, -2.84909142, -1.41205757, -84.3508796089, -88.1935019307
-1329.69049419, 434.134228809, -45.3801205748, -1.84954448, -2.92783134, -1.45142753, -84.1750034597, -88.1361053232
-1329.69049419, 439.772993423, -47.2280723449, -1.87652633, -3.0172569, -1.49228576, -84.0030271789, -88.0697023515
-1329.69049419, 449.063796054, -53.1368434069, -1.91056033, -3.1263204, -1.53560176, -83.5658334809, -87.8984500491
-1329.69049419, 449.063796054, -61.0821060442, -1.95450983, -3.25892665, -1.58030901, -82.7963785114, -87.6343303256
-1329.34169283, 449.063796054, -67.8492636265, -2.00123217, -3.41441247, -1.63162699, -81.9821243098, -87.3628295208
-1317.6050157, 449.063796054, -67.8492636265, -2.06822301, -3.57391447, -1.68187012, -81.6645300292, -87.240247242
-1308.16300942, 449.063796054, -67.8492636265, -2.14038587, -3.72131095, -1.72562845, -81.539561125, -87.1736289425
-1308.16300942, 445.348000781, -67.8492636265, -2.21880631, -3.86339947, -1.76677977, -81.4497143065, -87.1448584388
-1308.16300942, 432.808800469, -67.8492636265, -2.30308281, -3.99977417, -1.79512732, -81.2679207624, -87.1310647093
-1308.16300942, 420.885280281, -62.8311587396, -2.38505337, -4.13613641, -1.81581148, -81.4455950631, -87.2570856441
-1308.16300942, 419.023719395, -54.0986952438, -2.45280721, -4.27780353, -1.82351078, -82.1914011781, -87.5386397643
-1309.36990937, 419.023719395, -48.4592171463, -2.49724391, -4.41494438, -1.83040613, -82.9362365924, -87.7985964382
-1309.61651561, 419.023719395, -39.8755302878, -2.52543767, -4.55278054, -1.84137037, -83.9241336955, -88.1281616964
-1309.85316737, 419.023719395, -37.9253181727, -2.55043607, -4.68870934, -1.84449517, -84.4766458999, -88.3105525514
-1310.42194562, 414.859074034, -33.9551909036, -2.59390495, -4.83619304, -1.84139025, -85.0005933943, -88.492636046
-1310.42194562, 414.91544442, -33.5731145422, -2.64903975, -4.97954352, -1.83193857, -85.246666846, -88.573832856
-1310.48028415, 415.349266652, -26.9438687253, -2.70842677, -5.10757268, -1.81728463, -85.8954625728, -88.7740323792
-1310.68817049, 419.023719395, -23.7663212352, -2.77991077, -5.22256868, -1.79319763, -86.4390336938, -88.9323222719
-1311.11190042, 420.409559991, -16.6597927411, -2.84828593, -5.31877094, -1.76457547, -87.2413822499, -89.1746111882
-1311.46714025, 420.765123389, -9.19587564466, -2.90591329, -5.39720818, -1.73736255, -88.1683999264, -89.4601710569
-1311.46714025, 420.765123389, -8.78867129013, -2.96112159, -5.46819028, -1.7097584, -88.5714937044, -89.582086488
-1310.68817049, 420.765123389, -8.78867129013, -3.00778093, -5.54344728, -1.68116074, -88.7293116317, -89.6324257085
-1310.68817049, 432.645735995, -8.78867129013, -3.04276623, -5.62254448, -1.65530204, -88.8074788632, -89.6540974767
-1309.61290229, 442.787441597, -8.78867129013, -3.07950447, -5.71898236, -1.6338714, -88.8554353421, -89.6695131989
-1307.99357928, 446.872464958, -8.78867129013, -3.12509967, -5.81397236, -1.61335356, -88.8843958152, -89.674814733
